idModelInstance,Parameter,Value,Unit,Description,Reference
Moreau_BPA_Human_PARAM,BW,70.0,,body weight,
Moreau_BPA_Human_PARAM,VLC,0.0233,,,
Moreau_BPA_Human_PARAM,VGITissueC,0.019,,,
Moreau_BPA_Human_PARAM,VL,,,,
Moreau_BPA_Human_PARAM,VGITissue,,,,
Moreau_BPA_Human_PARAM,VPlasma,2.5178,,,
Moreau_BPA_Human_PARAM,QC,321.435,,,
Moreau_BPA_Human_PARAM,Hct,0.3865,,,
Moreau_BPA_Human_PARAM,QCPlasma,,,,
Moreau_BPA_Human_PARAM,QGIc,0.164,,,
Moreau_BPA_Human_PARAM,QLc,0.097,,,
Moreau_BPA_Human_PARAM,QRest,,,,
Moreau_BPA_Human_PARAM,PL,1.79,,,
Moreau_BPA_Human_PARAM,PGI,3.55,,,
Moreau_BPA_Human_PARAM,PRest,1.0,,,
Moreau_BPA_Human_PARAM,ksto,1.2,,,
Moreau_BPA_Human_PARAM,kabs,1.2,,,
Moreau_BPA_Human_PARAM,Fa,0.15,,,
Moreau_BPA_Human_PARAM,CLintC,131.34,,,
Moreau_BPA_Human_PARAM,CLint,,,,
Moreau_BPA_Human_PARAM,CLintB,0.0,,,
