idModelInstance,Parameter,Value,Unit,Description,Reference
Ou2018_Hg_Human_PARAM,Age,30.0,y,Age,
Ou2018_Hg_Human_PARAM,BW,70.0,kg,Bodyweight,
Ou2018_Hg_Human_PARAM,VGut_lumenc,0.014,dimensionless,Volume fraction of gut lumen,
Ou2018_Hg_Human_PARAM,VGc,0.017,dimensionless,Volume fraction of gut,
Ou2018_Hg_Human_PARAM,VLc,0.026,dimensionless,Volume fraction of liver,
Ou2018_Hg_Human_PARAM,VRBCc,0.024,dimensionless,Volume fraction of red blood cells,
Ou2018_Hg_Human_PARAM,VPlasmac,0.024,dimensionless,Volume fraction of plasma,
Ou2018_Hg_Human_PARAM,QLc,0.046,dimensionless,Cardiac output to liver,
Ou2018_Hg_Human_PARAM,QGc,0.181,dimensionless,Cardiac output fraction to gut,
Ou2018_Hg_Human_PARAM,Qrbcc,1.5,dimensionless,Maternal red cells / plasma diffusion,
Ou2018_Hg_Human_PARAM,kabsc,0.005,dimensionless,Reabsorption rate in gut,
Ou2018_Hg_Human_PARAM,Frac,0.95,,,
Ou2018_Hg_Human_PARAM,PGI,1.0,dimensionless,Partition coefficient blood-gut,
Ou2018_Hg_Human_PARAM,PL,5.0,dimensionless,Partition coefficient blood-liver,
Ou2018_Hg_Human_PARAM,PRBC,14.0,dimensionless,Partition coefficient red blood cells,
Ou2018_Hg_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Ou2018_Hg_Human_PARAM,kfec,0.0002,dimensionless,fecal elimination rate,
Ou2018_Hg_Human_PARAM,kmet_gutlumenc,0.0001,dimensionless,Metabolism rate constant in gut,
Ou2018_Hg_Human_PARAM,kmet_liverc,1e-05,dimensionless,metabolism rate constant in liver,
Ou2018_Hg_Human_PARAM,kbiliaryc,0.0001,dimensionless,Biliary clearance,
