idModelInstance,Parameter,Value,Unit,Description,Reference
Husoy2024_PFOA_Human_PARAM,BW,70.0,,body weight,
Husoy2024_PFOA_Human_PARAM,VLc,0.026,,,
Husoy2024_PFOA_Human_PARAM,Vplasmac,0.0428,,,
Husoy2024_PFOA_Human_PARAM,VGIc,0.0171,,,
Husoy2024_PFOA_Human_PARAM,Htc,0.44,,hematocrit,
Husoy2024_PFOA_Human_PARAM,QLc,0.069,,,
Husoy2024_PFOA_Human_PARAM,QGIc,0.181,,,
Husoy2024_PFOA_Human_PARAM,Free,0.02,,,
Husoy2024_PFOA_Human_PARAM,kfeC,2.17e-06,,,
Husoy2024_PFOA_Human_PARAM,kbiliaryC,0.000109,,,
Husoy2024_PFOA_Human_PARAM,PL,2.2,,,
Husoy2024_PFOA_Human_PARAM,PG,0.05,,,
Husoy2024_PFOA_Human_PARAM,PRest,1.0,,,
