element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,mg,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Dermal_APM_CarrierBrunet1999_DermalOnly,model,,,rdf,BQB_HAS_PROPERTY,,
Dermal_APM_CarrierBrunet1999_DermalOnly,model,,,rdf,BQB_HAS_TAXON,,
Skin,compartment,,,rdf,BQM_IS,,
RestBody,compartment,,,rdf,BQM_IS,,
Urine,compartment,,,rdf,BQM_IS,,
NonObservedExcr,compartment,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQB_IS,,
ARestBody,species,,,rdf,BQM_IS,,
ARestBody,species,,,rdf,BQB_IS,,
AUrine,species,,,rdf,BQM_IS,,
AUrine,species,,,rdf,BQB_IS,,
ANonObservedExcr,species,,,rdf,BQM_IS,,
ANonObservedExcr,species,,,rdf,BQB_IS,,
f_abs,parameter,,,rdf,BQM_IS,,
f_abs,parameter,,,rdf,BQB_IS,,
k_abs_bl,parameter,,,rdf,BQM_IS,,
k_abs_bl,parameter,,,rdf,BQB_IS,,
k_o,parameter,,,rdf,BQM_IS,,
k_o,parameter,,,rdf,BQB_IS,,
k_n,parameter,,,rdf,BQM_IS,,
k_n,parameter,,,rdf,BQB_IS,,
Dose_rate,parameter,,,rdf,BQM_IS,,
Dose_rate,parameter,,,rdf,BQB_IS,,
exposure_duration,parameter,,,rdf,BQM_IS,,
exposure_duration,parameter,,,rdf,BQB_IS,,
