idModelInstance,Parameter,Value,Unit,Description,Reference
Chen2022_PFOS_Human_PARAM,BW,70.0,,body weight,
Chen2022_PFOS_Human_PARAM,VLc,0.026,,,
Chen2022_PFOS_Human_PARAM,VPlasmac,0.0428,,,
Chen2022_PFOS_Human_PARAM,VL,,,,
Chen2022_PFOS_Human_PARAM,VPlasma,,,,
Chen2022_PFOS_Human_PARAM,QC,,,,
Chen2022_PFOS_Human_PARAM,QPlasma,,,,
Chen2022_PFOS_Human_PARAM,Htc,0.44,,hematocrit,
Chen2022_PFOS_Human_PARAM,QLc,0.25,,,
Chen2022_PFOS_Human_PARAM,QL,,,,
Chen2022_PFOS_Human_PARAM,QRest,,,,
Chen2022_PFOS_Human_PARAM,Free,0.025,,,
Chen2022_PFOS_Human_PARAM,kstoC,3.51,,,
Chen2022_PFOS_Human_PARAM,ksto,,,,
Chen2022_PFOS_Human_PARAM,kabsC,2.12,,,
Chen2022_PFOS_Human_PARAM,kabs,,,,
Chen2022_PFOS_Human_PARAM,kfeC,7.06e-05,,,
Chen2022_PFOS_Human_PARAM,k0C,1.0,,,
Chen2022_PFOS_Human_PARAM,k0,,,,
Chen2022_PFOS_Human_PARAM,kfe,,,,
Chen2022_PFOS_Human_PARAM,kbiliaryC,0.0,,,
Chen2022_PFOS_Human_PARAM,kbiliary,,,,
Chen2022_PFOS_Human_PARAM,PL,2.67,,,
Chen2022_PFOS_Human_PARAM,PRest,1.0,,,
