time,ABlood,[ABlood]
0.0,0.0,0.0
0.041666666666666664,9.783596814247606e-05,2.064049960811731e-05
0.08333333333333333,4.9406183039912784e-05,1.0423245367070207e-05
0.125,1.974765802350794e-05,4.166172578799144e-06
0.16666666666666666,7.135818593585891e-06,1.505446960672129e-06
0.20833333333333334,2.4392314503618464e-06,5.146057912155794e-07
0.25,8.054598965059163e-07,1.6992824820799922e-07
0.2916666666666667,2.598759904664239e-07,5.482615832624977e-08
0.3333333333333333,8.249009314503243e-08,1.7402973237348613e-08
0.375,2.5874859210783987e-08,5.458831057127423e-09
0.4166666666666667,8.044606678262209e-09,1.6971744046966684e-09
0.4583333333333333,2.484316862789965e-09,5.241174816012584e-10
0.5,7.63231579208514e-10,1.610193205081253e-10
0.5416666666666666,2.335349507651732e-10,4.926897695467788e-11
0.5833333333333334,7.123130159926094e-11,1.5027700759337752e-11
0.625,2.1672171806919613e-11,4.572188144919749e-12
0.6666666666666666,6.580676575471512e-12,1.388328391449686e-12
0.7083333333333334,1.9950341339900475e-12,4.208932772130902e-13
0.75,6.04059326720755e-13,1.2743867652336602e-13
0.7916666666666666,1.827121536111647e-13,3.854686785045668e-14
0.8333333333333334,5.522053485480327e-14,1.1649901868101955e-14
0.875,1.667816730903433e-14,3.5186006981085075e-15
0.9166666666666666,5.034612103341146e-15,1.0621544521816762e-15
0.9583333333333334,1.5191411024035342e-15,3.2049390346066125e-16
1.0,4.582266782983986e-16,9.667229499966214e-17
1.0416666666666667,9.783614424561219e-05,2.0640536760677676e-05
1.0833333333333333,4.9405987517228023e-05,1.0423204117558654e-05
1.125,1.9747616147584623e-05,4.166163744216165e-06
1.1666666666666667,7.135813740517923e-06,1.5054459368181273e-06
1.2083333333333333,2.439235326141756e-06,5.146066088906658e-07
1.25,8.054633043372093e-07,1.6992896715974877e-07
1.2916666666666667,2.598778252742439e-07,5.482654541650715e-08
1.3333333333333333,8.249091497446383e-08,1.7403146619085195e-08
1.375,2.5875192924101253e-08,5.4589014607808545e-09
1.4166666666666667,8.044733815121209e-09,1.6972012268188205e-09
1.4583333333333333,2.484363304979891e-09,5.241272795316224e-10
1.5,7.632480120676274e-10,1.6102278735603954e-10
1.5416666666666667,2.3354063023001263e-10,4.9270175154011097e-11
1.5833333333333333,7.123322957913923e-11,1.5028107506147517e-11
1.625,2.1672816459950773e-11,4.57232414766894e-12
1.6666666666666667,6.58089000748541e-12,1.3883734193007193e-12
1.7083333333333333,1.995104082796259e-12,4.2090803434520236e-13
1.75,6.0408207976137e-13,1.2744347674290507e-13
1.7916666666666667,1.8271950632512707e-13,3.854841905593398e-14
1.8333333333333333,5.522289708278337e-14,1.165040022843531e-14
1.875,1.6678922910872945e-14,3.518760107779102e-15
1.9166666666666667,5.03485267690325e-15,1.062205206097732e-15
1.9583333333333333,1.5192174482041013e-15,3.2051001016964163e-16
2.0,4.582508220138051e-16,9.66773886105074e-17
2.0416666666666665,9.783593543061367e-05,2.0640492706880523e-05
2.0833333333333335,4.940610922272307e-05,1.0423229793823432e-05
2.125,1.9747636859737664e-05,4.166168113868706e-06
2.1666666666666665,7.135815393029483e-06,1.5054462854492581e-06
2.2083333333333335,2.439232130887189e-06,5.146059347863268e-07
2.25,8.05460729781142e-07,1.699284240044603e-07
2.2916666666666665,2.5987645833721915e-07,5.482625703316859e-08
2.3333333333333335,8.249030295674157e-08,1.7403017501422272e-08
2.375,2.5874944861493034e-08,5.458849126897265e-09
2.4166666666666665,8.044639046614074e-09,1.6971812334628847e-09
2.4583333333333335,2.4843286900236735e-09,5.241199767982433e-10
2.5,7.632357390069811e-10,1.6102019810273863e-10
2.5416666666666665,2.3353638470702584e-10,4.926927947405608e-11
2.5833333333333335,7.123178747472226e-11,1.5027803264709338e-11
2.625,2.1672333543076268e-11,4.572222266471786e-12
2.6666666666666665,6.5807301434325976e-12,1.3883396927072992e-12
2.7083333333333335,1.995051598697168e-12,4.208969617504574e-13
2.75,6.04065006170359e-13,1.2743987471948501e-13
2.7916666666666665,1.827139831630149e-13,3.854725383185968e-14
2.8333333333333335,5.5221121842501374e-14,1.1650025705169066e-14
2.875,1.6678354816277436e-14,3.518640256598615e-15
2.9166666666666665,5.0346716596214145e-15,1.0621670167977667e-15
2.9583333333333335,1.5191600034293661e-15,3.204978910188536e-16
3.0,4.582326409263781e-16,9.667355293805443e-17
3.0416666666666665,9.783580838577875e-05,2.064046590417273e-05
3.0833333333333335,4.940601328545767e-05,1.0423209553894023e-05
3.125,1.9747609628764756e-05,4.166162368937712e-06
3.1666666666666665,7.135811380494044e-06,1.5054454389227942e-06
3.2083333333333335,2.4392329769175917e-06,5.146061132737535e-07
