idModelInstance,Parameter,Value,Unit,Description,Reference
Yang2015_BPA_Human_PARAM,BW,70.0,kg,body weight,
Yang2015_BPA_Human_PARAM,VLc,0.026,L/kg,Volume fraction to bodyweight - liver,
Yang2015_BPA_Human_PARAM,VPlasmac,0.0435,L/kg,Volume fraction to bodyweight - Plasma,
Yang2015_BPA_Human_PARAM,enterocytes,0.1223,L,Small intestine enterocyte processing volume,
Yang2015_BPA_Human_PARAM,QLc,0.24,dimensionless,Fraction of blood to liver,
Yang2015_BPA_Human_PARAM,PL,0.73,dimensionless,Partition coefficient - liver,
Yang2015_BPA_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient - rest of body,
Yang2015_BPA_Human_PARAM,kstoC,3.5,1/h/kg^-0.25,Gastric emptying constant,
Yang2015_BPA_Human_PARAM,k0C,0.0,1/h/kg^-0.25,Uptake from stomach to liver constant,
Yang2015_BPA_Human_PARAM,kabsC,2.0,1/h/kg^-0.25,Uptake from enterocytes to liver,
Yang2015_BPA_Human_PARAM,kfeC,0.0,1/h/kg^-0.25,Fecal elimination constant,
Yang2015_BPA_Human_PARAM,kfeMet1C,0.0,1/h/kg^-0.25,Fecal elimination constant,
Yang2015_BPA_Human_PARAM,kabsMet1C,50.0,1/h/kg^-0.25,Transport constant of metabolite from enterocytes to serum,
Yang2015_BPA_Human_PARAM,kabsMet2C,0.0,1/h/kg^-0.25,Transport constant of metabolite from enterocytes to serum,
Yang2015_BPA_Human_PARAM,EHRrateC,0.2,1/h/kg^-0.25,Enterohepatic recirculation constant of metabolite,
Yang2015_BPA_Human_PARAM,kehrMet1C,0.0,1/h/kg^-0.25,EHR constant of metabolite due to biliary excretion,
Yang2015_BPA_Human_PARAM,kehrMet2C,0.0,1/h/kg^-0.25,EHR constant of metabolite due to biliary excretion,
Yang2015_BPA_Human_PARAM,BileFracSIMet1,0.1,dimensionless,% of metabolite that goes to bile,
Yang2015_BPA_Human_PARAM,BileFracSIMet2,0.0,dimensionless,% of metabolite that goes to bile,
Yang2015_BPA_Human_PARAM,fGutMet1,1.0,dimensionless,correction factor,
Yang2015_BPA_Human_PARAM,KmGILumenMet1,58400.0,nmol/L,Glucuronidation Km,
Yang2015_BPA_Human_PARAM,VmaxGILumenMet1c,22750.0,nmol/h/kg^0.75,Glucuronidation constant - Vmax,
Yang2015_BPA_Human_PARAM,fGutMet2,0.0,dimensionless,correction fraction,
Yang2015_BPA_Human_PARAM,KmGILumenMet2,4700.0,nmol/L,Sulfation - Km,
Yang2015_BPA_Human_PARAM,VmaxGILumenMet2c,0.0,nmol/h/kg^0.75,Sulfation constant - Vmax,
Yang2015_BPA_Human_PARAM,BileFracLMet1,0.1,dimensionless,% of metabolite that goes to bile,
Yang2015_BPA_Human_PARAM,BileFracLMet2,0.0,dimensionless,% of metabolite that goes to bile,
Yang2015_BPA_Human_PARAM,fLiverMet1,1.0,dimensionless,Switch on/off,
Yang2015_BPA_Human_PARAM,KmLMet1,45800.0,nmol/L,Glucuronidation- Km,
Yang2015_BPA_Human_PARAM,VmaxLMet1c,707537.0,nmol/h/kg^0.75,Glucuronidation constant - Vmax,
Yang2015_BPA_Human_PARAM,fLiverMet2,1.0,dimensionless,Switch on/off,
Yang2015_BPA_Human_PARAM,KmLMet2,4700.0,nmol/L,Sulfation - Km,
Yang2015_BPA_Human_PARAM,VmaxLMet2c,0.0,nmol/h/kg^0.75,Sulfation constant - Vmax,
