element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Worley2017_PFOA_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_35549,
Worley2017_PFOA_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,Stomach,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
SI,compartment,Small intestine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
Liver,compartment,Liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,Plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,Rest of the body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,Feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
ASt,species,Amount in the stomach,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06004,
ASt,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_39421,
ASI,species,Amount in the small intestine,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06005,
ASI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_39421,
ALiver,species,Liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_39421,
APlasma,species,Amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_39421,
ARest,species,Amount in the rest of the body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_39421,
AFeces,species,Amount in the feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00275,
